English Word,IPA Pronunciation,German Translation,Gender,Word Type,Domains,Examples,Synonyms
Abbaugrad,abˈaʊɡɾɑːt,decomposition level,,,"biol., chem.",0,
Pickhammer,pˈɪkhamɜ,"pick hammer , pneumatic pick",,,min.,0,Abbauhammer
Vorgriff,fˈoːɾɡɾˌɪf,"buttock , lift",,,min.,0,Abbauhöhe
Abbauintoxikation,abˌaʊɪntˌɔksiːkatsjˈoːn,endogenous autointoxication,,,med.,0,
Abbauland,abˈaʊlant,mining land,,,min.,0,
Abbauleistung,abˈaʊlaɪstˌʊŋ,degradation capacity,,,chem.,0,
Abbaumaschine,abˌaʊmaʃˈiːnə,mining machine,,,min.,1,
Abbaustadium,abaʊstˈɑdiːˌʊm,"degradation/downgrade stage , degenerate phase",,,"biol., chem.",0,Abbauphase
Abbauprodukt,abˈaʊpɾoːdˌʊkt,breakdown/decomposition/degradation product,,,"biol., chem.",0,
Abbauprodukt,abˈaʊpɾoːdˌʊkt,product of catabolism,,,biol.,0,
Abbaureaktion,abˌaʊreːaktsjˈoːn,"degradation reaction , degradative reaction",,,"biol., chem.",0,
Abbaurevier,abˌaʊreːvˈiːɾ,"mining region , mining district",,,min.,0,
Abbaurichtung,abˈaʊrɪçtˌʊŋ,direction of mining,,,min.,0,
Abbauriss,abˈaʊrɪs,subsidence break,,,min.,2,
Dissimilation,dˌɪsiːmˌiːlatsjˈoːn,"catabolism , catabiosis , dissimilation , disassimilation , devolution",,,med.,0,"Katabolismus, Abbaustoffwechsel"
Abbauscheibe,abˈaʊʃaɪbə,slice,,,min.,0,
Abbauschutt,abˈaʊʃʊt,mining debris,,,min.,0,
Abbaustelle,abˈaʊʃtɛlə,open cut mine,,,min.,0,
Stoß,ʃtˈoːs,"face of work , working face , bench",,,min.,0,Abbaustoß
Abbaustrecke parallel zu den Schlechten,abˈaʊstɾɛkə pˌaralˈeːl tsuː deːn ʃlˈɛçtən,butt entry,,,min.,0,
Abbauschritt,abˈaʊʃrɪt,step in degradation/decomposition,,,"biol., chem.",0,Abbaustufe
Abbauverfahren,abˈaʊfɛɾfˌɑːrən,mining method,,,min.,0,
Abbaukontrakt,abˈaʊkɔntɾˌakt,mining contract,,,min.,0,Abbauvertrag
Abbauprozess,abˈaʊpɾoːtsˌɛs,"degradation process , degradative process",,,"biol., chem.",0,Abbauvorgang
Abbauwand,abˈaʊvant,quarry face,,,min.,0,
Abbauwürdigkeit,abˈaʊvyɾdˌɪçkaɪt,"minability , workability , payability",,,min.,0,
Abbe-Helmert'sches Kriterium,ˈabə hˈɛlmɜt ʃˈeːs kɾiːtˈeːriːˌʊm,Abbe-Helmert criterion,,,statist.,0,
Entstielmaschine,ɛntʃtˌiːlmaʃˈiːnə,"grape picker , stalk separator",,,agr.,0,Abbeermaschine
Abbeilen der Wurzelanläufe,ˈapbˌaɪlən dɛɾ vˈ??tsəlˌanlɔøfə,"removal of buttresses, laying-in",,,agr.,0,
Reziprokwert der relativen Dispersion,rˈeːtsɪpɾˌɔkveːɾt dɛɾ rˌeːlatˈiːvən dˌɪspɜzjˈoːn,"Abbe number , constringence , V-value",,,phys.,0,"Abbe'sche Zahl, Abbe-Zahl"
Abbiegen,ˈapbˌiːɡən,"turning , turning-off , turn-off",,,auto,0,
Abbiegender,ˈapbˌiːɡəndɜ,turning vehicle,,,auto,0,"Abbiegende, Abbieger"
Abbiegescheinwerfer,ˈapbˌiːɡɛʃˌaɪnvɜfɜ,cornering lamp,,,auto,0,
Abbiegestreifen,ˈapbˌiːɡɛstɾˌaɪfən,turn-off lane,,,auto,0,Abbiegespur
Abbiegeunfall,ˈapbˌiːɡɔønfˌal,accident involving a vehicle turning off,,,auto,0,
Abbiegeverbot,ˈapbˌiːɡeːfɜbˌoːt,"turning ban , turn ban",,,auto,0,
Abbiegeverhalten,ˈapbˌiːɡeːfɜhˌaltən,turning behavio(u)r,,,"auto, techn.",0,
Abbiegeverkehr,ˈapbˌiːɡeːfɜkˌeːɾ,turning traffic,,,auto,0,
Abbiegestelle,ˈapbˌiːɡɛʃtˌɛlə,point of bending,,,constr.,0,
Zuordnung,tsˈuːɔɾdnˌʊŋ,"mapping , map , transformation",,,math.,0,Abbildung
Abbildtheorie,ˈapbˌɪltheːoːrˌiː,"image theory , picture theory , representation theory",,,phil.,0,
Abbildungsqualität,ˈapbˌɪldʊŋskvˈɑːliːtˌɛːt,"colour fastness   , color fastness",,,"Br., Am., techn.",0,Abbildungsgenauigkeit
Newton'sche Linsengleichung,(en)njˈuːtən(de) ʃˈeː lˈɪnzənɡlˌaɪçʊŋ,Newton's lens equation,,,phys.,0,Abbildungsgleichung
Bildunterschrift,bˈɪldʊntɜʃrˌɪft,"caption , legend",,,print,0,"Abbildungslegende, Bildlegende, Legende zum Bild"
Abbildungsverzeichnis,ˈapbˌɪldʊŋsfɜtsˌaɪçnɪs,"table of figures , list of figures , list of illustrations",,,"sci., print",0,
Abbindebereich,ˈapbˌɪndəbərˌaɪç,curing area,,,constr.,0,
Abbindeende,ˈapbˌɪndəəndə,final set,,,constr.,0,
Abbindebehandlung,ˈapbˌɪndəbˌeːandlˌʊŋ,curing,,,constr.,0,
Abbindebeschleuniger,ˈapbˌɪndəbˌɛʃlɔønˌɪɡɜ,curing accelerator,,,constr.,0,
Abbindebeschleunigung,ˈapbˌɪndəbˌɛʃlɔønˌɪɡʊŋ,"curing acceleration , hardening acceleration",,,constr.,0,
Abbindedauer,ˈapbˌɪndədˌaʊɜ,setting time,,,constr.,0,
Abbindeenergie,ˈapbˌɪndəˌɛnɜɡˌiː,setting energy,,,constr.,0,
Ligatur,lˌiːɡatˈuːɾ,"ligation , ligature",,,med.,0,"Unterbindung, Abbinden, Unterbinden"
Abbinden,ˈapbˌɪndən,setting,,,constr.,0,
Abbindelager,ˈapbˌɪndəlˌɑːɡɜ,curing area,,,constr.,0,Abbindeplatz
Abbindeverlauf,ˈapbˌɪndəfɜlˌaʊf,"setting process , curing process",,,constr.,0,"Abbindevorgang, Abbindeprozess"
Abbindeprüfung,ˈapbˌɪndəpɾˌyːfʊŋ,setting test,,,constr.,0,
Abbindereaktion,ˈapbˌɪndərˌeːaktsjˌoːn,setting reaction,,,constr.,0,
Abbinderegulator,ˈapbˌɪndərˌeːɡuːlˌɑtoːɾ,setting control agent,,,constr.,0,
Abbindeschwindung,ˈapbˌɪndəʃvˌɪndʊŋ,setting shrinkage,,,constr.,0,
Abbindeschwund,ˈapbˌɪndəʃvˌʊnt,setting shrinkage,,,constr.,0,
Abbindesteuerung,ˈapbˌɪndəstˌɔøərˌʊŋ,"set control , setting control",,,constr.,0,
Abbindestörung,ˈapbˌɪndəʃtˌøːrʊŋ,faulty setting,,,constr.,0,
Abbindetemperatur,ˈapbˌɪndətˌɛmpeːratˌuːɾ,setting temperature,,,constr.,0,
Abbindeprüfung,ˈapbˌɪndəpɾˌyːfʊŋ,setting test,,,constr.,0,Abbindetest
Abbindeverhalten,ˈapbˌɪndəfɜhˌaltən,setting behavior,,,constr.,0,
Abbindeverzögerer,ˈapbˌɪndəfɜtsˌøːɡərɜ,"curing retardant , curing retardent",,,constr.,0,
Abbindewasser,ˈapbˌɪndəvˌasɜ,setting water,,,constr.,0,
Hydratationswärme,hˈydɾatatsjˌoːnsvɛɾmə,"hydration heat , heat of hydration",,,chem.,0,Abbindewärme
Abbindewärme,ˈapbˌɪndəvˌɛɾmə,maturing heat,,,constr.,0,
Abbindezeit,ˈapbˌɪndətsˌaɪt,setting time,,,constr.,0,
Abbindezeit,ˈapbˌɪndətsˌaɪt,water curing,,,constr.,0,
Ligaturfaden,lˈiːɡatˌ??fɑːdən,"ligature thread , ligature",,,med.,0,"Unterbindungsfaden, Abbindungsfaden"
Abblaseabsperrventil,ˈapblˌɑzeːˌapʃpɜvəntˌiːl,"pressurizer relief stop valve , relief isolation valve , turbine bypass valve , turbine by-pass blow-off valve",,,techn.,0,
Abblasetank,ˈapblˌɑzeːtˌaŋk,"pressurizer relief tank , pressure relief tank",,,techn.,0,Abblasebehälter
Abblasebehälterkühler,ˈapblˌɑzeːbˌeːɛltɜkˌyːlɜ,pressurizer relief tank cooler,,,techn.,0,
Abblasebehälterkühler,ˈapblˌɑzeːbˌeːɛltɜkˌyːlɜ,pressurizer relief tank coolers,,,techn.,0,
Abblasedampf,ˈapblˌɑzeːdˌampf,blow-off steam,,,techn.,0,
Abblasedruck,ˈapblˌɑzɛdɾˌʊk,"blowing-off pressure , valving pressure",,,"Am., techn.",0,
Abblasedruckregler,ˈapblˌɑzɛdɾˌʊkɾɛɡlɜ,blow-off pressure regulator,,,techn.,0,
Abblaseeinrichtung,ˈapblˌɑzeːˌɪnrɪçtˌʊŋ,"blow-off system , exhaust system , by-pass system",,,techn.,0,
Abblaseeinrichtung,ˈapblˌɑzeːˌɪnrɪçtˌʊŋ,atmospheric relief system,,,mach.,0,
Abblasegrenzdruckregler,ˈapblˌɑzɛɡɾˌɛntsdɾʊkɾˌɛɡlɜ,steam back-pressure regulator,,,techn.,0,
Abblasehaube,ˈapblˌɑzeːˌaʊbə,relief hood,,,"mach., atmospheric",0,
Abblaseleistung,ˈapblˌɑzəlˌaɪstʊŋ,discharge capacity,,,mach.,0,
Abblaseleitung,ˈapblˌɑzəlˌaɪtʊŋ,"exhaust pipe , pressure relief line , blow-off piping , compressor bleed air pipe",,,techn.,0,
Abblasemast,ˈapblˌɑzeːmˌast,vent mast,,,naut.,0,
Abblasemenge,ˈapblˌɑzeːmˌɛŋə,blowdown rate,,,techn.,0,
Abblasemengen,ˈapblˌɑzeːmˌɛŋən,blowdown rates,,,techn.,0,
Abblaseregelung,ˈapblˌɑzeːrˌeːɡəlˌʊŋ,relief control system,,,techn.,0,
Abblaseregelungen,ˈapblˌɑzeːrˌeːɡəlˌʊŋən,relief control systems,,,techn.,0,
Abblaseregelventil,ˈapblˌɑzeːrˌeːɡəlvəntˌiːl,blow-off control valve,,,techn.,0,
Durchblaserohr,d??çblˈɑzeːrˌoːɾ,blow-off pipe,,,techn.,0,"Abblaserohr, Ausblaserohr"
Abblaseschalldämpfer,ˈapblˌɑzɛʃˌaldɛmpfɜ,blowdown silencer,,,techn.,0,
Abblaseventil,ˈapblˌɑzeːvəntˌiːl,blow-off valve,,,techn.,0,Abblaseschieber
Abblaseschnellschlußventil,ˈapblˌɑzɛʃnˌɛlʃlʊsvəntˌiːl,by-pass stop valve,,,"alt, techn.",0,Abblaseschnellschlussventil
Abblaseschubventil,ˈapblˌɑzɛʃˌʊbvəntˌiːl,"diverter valve , air control valve",,,auto,0,
Abblasestation,ˈapblˌɑzɛstatsjˌoːn,atmospheric steam dump station,,,techn.,0,
Abblasesteuerung,ˈapblˌɑzɛstˌɔøərˌʊŋ,blow-off control,,,techn.,0,
Abblasetauchspulregler,ˈapblˌɑzeːtˌaʊxspʊlrˌɛɡlɜ,by-pass solenoid-type controller,,,techn.,0,
Umluftventil,ˈʊmlˌʊftvɛntˌiːl,"turbo-relief valve , anti-surge valve , blow-off valve , bypass valve",,,auto,0,Abblaseventil
Abblaseverhältnisdruckregler,ˈapblˌɑzeːfɜhˌɛltnɪsdɾˌʊkɾɛɡlɜ,differential by-pass pressure regulator,,,techn.,0,
Abblasevorrichtung,ˈapblˌɑzeːvˌɔrɪçtˌʊŋ,blow-off device,,,techn.,0,
Abblenden,ˈapblˌɛndən,"dipping   , dimming",,,"auto, Br., Am.",0,
Abblenden,ˈapblˌɛndən,stopping down,,,photo.,0,
Abblendlicht,ˈapblˌɛndlɪçt,"dipped / dimmed headlights/lights , dipped / low beam(s)/beam light , passing beam",,,auto,2,
Abblendrelais,ˈapblˌɛndɾəlˌaɪs,dimmer relay,,,auto,0,
Abblendschalter,ˈapblˌɛndʃaltɜ,"dip switch   , dipper   , dimmer switch",,,"auto, Br., Am.",0,
Abbolzung,ˈapbˌɔltsʊŋ,propping,,,constr.,0,
Abbrand,ˈapbɾˌant,loss of contact material,,,electr.,0,
Aufbruch,ˈaʊfbɾˌʊx,decampment,,,mil.,0,"Abbrechen des Lagers, Aufbrechen"
Abbrecherin,ˈapbɾˌɛçərˌɪn,dropout,,,"stud., school",0,Abbrecher
Abbremsplatz,ˈapbɾˌɛmsplats,run-up area,,,aviat.,0,
Abbrechversuch,ˈapbɾˌɛçfɜzˌuːx,break-off test,,,constr.,0,
Abbremsstelle,ˈapbɾˌɛmsʃtɛlə,run-up position,,,aviat.,0,
Abbremszeit,ˈapbɾˌɛmstsaɪt,deceleration time,,,comp.,0,
Abbrenneinrichtung,ˈapbɾˌɛnaɪnrˌɪçtʊŋ,trap oxidizer,,,auto,0,
Abbrennrate,ˈapbɾɛnrˌɑːtə,burn-off rate,,,auto,0,
Abbrenntemperatur,ˈapbɾˌɛntɛmpˌeːratˌuːɾ,temperature of burn-off,,,techn.,0,
Abbrennzeit,ˈapbɾˌɛntsaɪt,flashing time,,,techn.,0,
Abbrennzeit,ˈapbɾˌɛntsaɪt,duration of burn-off,,,techn.,0,
Abbrennstumpfschweißen,ˈapbɾˌɛnstʊmpfʃvˌaɪsən,"flash butt welding , flash welding",,,techn.,0,
musikalische Wiederholungszeichen,muːziːkˈɑlɪʃə viːdɜhˈoːlʊŋstsˌaɪçən,"music abbreviations, signs of repetition",,,mus.,0,Abbreviaturen
Abhalten,ˈaphˌaltən,dissuasion,,,psych.,0,Abbringen
Absplittern,ˈapʃplˌɪtɜn,"spalling-off , spalling",,,geol.,0,"Abplatzen, Abbröckeln, Abblättern"
Abbröckelung,ˈapbɾˌœkəlˌʊŋ,crumbling away,,,geol.,0,
Schleifen,ʃlˈaɪfən,"demolition , demolishment , pulling down , tearing down , razing , demo",,,"coll., constr.",0,"Abbruch, Abriss"
Abbruch,ˈapbɾˌʊx,"break-off , stop , stopping",,,sport,0,
Abbruch,ˈapbɾˌʊx,termination,,,chem.,0,
Abbruch,ˈapbɾˌʊx,"broken-down bank , subsidence of shore",,,geol.,0,
Trunkierung,tɾʊnkˈiːrʊŋ,truncation,,,math.,0,"Abschneiden der Nachkommastellen, Abbruch der Ziffernfolge"
Abbruch,ˈapbɾˌʊx,abandonment,,,comp.,0,
Abbruchabfall,ˈapbɾˌʊxapfˌal,demolition waste,,,constr.,0,
Abbruchbedingung,ˈapbɾˌʊxbədˌɪŋʊŋ,termination condition,,,comp.,0,
Abbruchbagger,ˈapbɾˌʊxbaɡɜ,demolition excavator,,,constr.,0,
Abbruchbeton,ˈapbɾˌʊxbeːtˌoːn,demolition concrete,,,constr.,0,
Entzugsblutung,ɛnttsˈuːksbluːtˌʊŋ,withdrawal bleeding,,,med.,0,Abbruchblutung
Abbrechfehler,ˈapbɾˌɛçfeːlɜ,truncation error,,,math.,0,Abbruchfehler
Abbruchunternehmen,ˈapbɾˌʊxʊntɜnˌeːmən,"demolition company , house breaker   , wrecking company   , housewrecker   , wrecker",,,"Br., constr., Am.",0,Abbruchfirma
Abrisskante,ˈapɾɪskˌantə,scarped ridge,,,geol.,0,"Bruchkante, Abbruchkante"
Sprengtrupp,ʃpɾˈɛŋtɾʊp,demolition squad,,,constr.,0,"Sprengkommando, Abbruchkolonne"
Abbruchkosten,ˈapbɾˌʊxkɔstən,demolition costs,,,"fin., constr.",0,
Abbruchkriterium,ˈapbɾˌʊxkɾiːtˌeːriːˌʊm,truncation criterion,,,math.,0,
Abbruchmakro,ˈapbɾʊxmˌakɾoː,abort macro,,,comp.,0,
Abbruchmaterial,ˈapbɾˌʊxmatˌeːriːˌɑːl,demolition material,,,constr.,0,
Abbruchplan,ˈapbɾʊxplˌɑːn,demolition plan,,,constr.,0,
Abbruchplaner,ˈapbɾʊxplˌɑːnɜ,demolition planner,,,constr.,0,
Abbruchplanung,ˈapbɾˌʊxplanˌʊŋ,demolition planning,,,constr.,0,
Abbruchprojekt,ˈapbɾˌʊxpɾoːjˌɛkt,demolition project,,,constr.,0,
Abbruchvorgang,ˈapbɾˌʊxfoːɾɡˌaŋ,demolition process,,,constr.,0,Abbruchprozess
Abbruchreaktion,ˈapbɾˌʊxreːaktsjˌoːn,termination reaction,,,chem.,0,
Abbruchlöffel,ˈapbɾˌʊxlœfəl,demolition bucket,,,constr.,0,Abbruchschaufel
Abbruchschere,ˈapbɾˌʊxʃərə,demolition shears,,,constr.,0,
Abbruchschutt,ˈapbɾˌʊxʃʊt,demolition debris,,,constr.,0,
Abbruchsimulation,ˈapbɾˌʊxziːmˌuːlatsjˌoːn,"demolition simulation , simulation of demolition",,,constr.,0,
Abbruchspezialist,ˈapbɾˌʊxspeːtsˌiːalˌɪst,demolition specialist,,,constr.,0,
Abbruchstelle,ˈapbɾˌʊxʃtɛlə,fracture,,,"min., geol.",0,
Abbruchtechniker,ˈapbɾˌʊxtɛçnˌɪkɜ,demolition engineer,,,constr.,0,
Abbruchüberwachung,ˈapbɾˌʊxyːbɜvˌaxʊŋ,demolition monitoring,,,constr.,0,
Abbruchverfahren,ˈapbɾˌʊxfɛɾfˌɑːrən,abort procedure,,,aviat.,0,
Abbruchaufschub,ˈapbɾˌʊxaʊfʃˌuːp,demolition delay,,,constr.,0,Abbruchverzögerung
Abbruchwerkzeug,ˈapbɾˌʊxvɜktsˌɔøk,demolition tool,,,constr.,0,
Abbruchzone,ˈapbɾʊxtsˌoːnə,shear zone,,,geol.,0,
Abbuchen von Kleinstbeträgen,ˈapbˌuːxən fɔn klˈaɪnstbɛtɾˌɛːɡən,"penny shaving, salami shaving",,,betrügerisches,0,Betrug mit Kleinstabbuchungen
Belastung,bəlˈastʊŋ,"debit , charge",,,fin.,0,Abbuchung
ABC-Abwehr,ˌɑːbˌeːtsˈeː ˈapvˌeːɾ,"NBC defence   , NBC defense",,,"Br., mil., Am.",0,
ABC-Profil,ˌɑːbˌeːtsˈeː pɾoːfˈiːl,A-B-C profile,,,envir.,0,
I-Dotz,ˈiː dˈɔts,abecedarian,,,Mittelwestdt.,0,"Taferlklassler, Abc-Schütze, I-Dötzchen"
I-Dötzchen,ˈiː dˈœtsçən,abecedarian,,,Mittelwestdt.,0,"Taferlklassler, Abc-Schütze, I-Dotz"
Taferlklassler,tˈɑfɜlklˌaslɜ,abecedarian,,,"Ös., Südwestdt.",0,"Abc-Schütze, I-Dötzchen, I-Dotz"
Tafelkratzer,tˈɑfəlkɾˌatsɜ,abecedarian,,,"humor., Ös., school",0,"Taferlklassler, Abc-Schütze, I-Dötzchen"
ABC-Spürpanzer,ˌɑːbˌeːtsˈeː ʃpˈyɾpantsɜ,"NBC reconnaissance vehicle NBCRV,  /ˌɛnbˌeːtsˈeːˌɛɾfˈaʊ/",,,mil.,0,
"atomare, biologische und chemische Waffen",atˈoːmɑːrə bˌɪoːlˈoːɡɪʃə ʊnt çˈeːmɪʃə vˈafən,"NBC weapons, nuclear, biological, and chemical weapons",,,mil.,0,ABC-Waffen
Abdampfvorwärmer,ˈapdampffˌoːɾvɛɾmɜ,"exhaust steam preheater , bleeder heater",,,techn.,0,
Abdeckband,ˈapdɛkbˌant,welt,,,textil.,0,
Kadaverbeseitiger,kˈɑdavɜbˌeːzaɪtˌɪɡɜ,"renderer , knacker",,,"Br., veraltet",0,"Schinder, Abdecker"
Kappe,kˈapə,"cover cap , cap",,,techn.,0,Abdeckkappe
Abdeckklappe,ˈapdɛklˌapə,protective cap,,,techn.,0,
Abdeckmutter,ˈapdɛkmˌʊtɜ,cover nut,,,techn.,0,
Abdeckstein,ˈapdɛkʃtˌaɪn,copestone,,,arch.,0,Abdeckplatte
Abdeckplatte aus Beton,ˈapdɛkplˌatə ˌaʊs bətˈoːn,concrete coping slab,,,constr.,0,
Abdeckschraube,ˈapdɛkʃrˌaʊbə,cover screw,,,techn.,0,
Abdeckziegel,ˈapdɛktsˌiːɡəl,capping tile,,,constr.,0,
Rückwand,rˈykvant,"rear cover , rear panel , backplate",,,"comp., techn.",0,rückseitige Abdeckung
Abdichtung,ˈapdɪçtˌʊŋ,sealing,,,"constr., techn.",0,Abdichten
Abdichten,ˈapdɪçtən,waterproofing,,,constr.,0,
Abdichtung des Pulverraums,ˈapdɪçtˌʊŋ dɛs pˈʊlfɜrˌaʊms,obturation,,,mil.,0,
Abdichthülse,ˈapdɪçtˌylzə,sealing bush,,,techn.,0,
Abdichtungsmaterial,ˌapdɪçtˌʊŋsmatˌeːriːˈɑːl,sealing material,,,constr.,0,
Abdominallavage,ˌapdoːmiːnˈɑːlavˌɑːɡə,irrigation of the abdominal cavity,,,med.,0,
Abdominalsegment,ˌapdoːmiːnˈɑːlzɛɡmˈɛnt,abdominal segment,,,anat.,0,
Abdriftschreiber,ˈapdɾɪftʃrˌaɪbɜ,drift recorder,,,aviat.,0,Abdrängungsschreiber
Abdrehen,ˈapdɾeːən,turning,,,techn.,0,
Abdrückmutter,ˈapdɾykmˌʊtɜ,jacknut,,,techn.,0,
Abdrückschraube,ˈapdɾykʃrˌaʊbə,"forcing screw , pulling-off screw   , pulling screw",,,"Am., techn.",0,
Abduktion,ˌapdʊktsjˈoːn,abduction,,,phil.,0,
Abduktionslähmung,ˈapdʊktsjˌoːnslɛːmˌʊŋ,abduction paralysis,,,med.,0,
Abduktivismus,ˌapdʊktiːvˈɪsmʊs,abductivism,,,phil.,0,
Abduktor,apdˈʊktoːɾ,abductor,,,anat.,0,
Abelit,ˌɑbəlˈɪt,abelite,,,mil.,0,
Abelson-Tukey-Score-Test,ˈɑbəlzˌoːn tˈuːkaɪ skˈoːrə tˈɛst,Abelson-Tukey score test,,,statist.,0,
