English Word,IPA Pronunciation,German Translation,Gender,Word Type,Domains,Examples,Synonyms
trash,tɹˈaʃ,"Abfall , Müll     , Mist   , Kehricht     , Güsel",masculine,,"Ös., BW, Am.",0,"refuse, rubbish, garbage"
rubbish,ɹˈʌbɪʃ,"Abfall , Hausabfall , Kehricht",masculine,,Br.,0,
garbage,ɡˈɑːbɪdʒ,"Abfall , Hausabfall",masculine,,Am.,0,
waste tipping,wˈeɪst tˈɪpɪŋ,"Abfallablagerung , Müllablagerung, Schuttabladen",feminine,,"Br., envir.",0,waste dumping
waste treatment,wˈeɪst tɹˈiːtmənt,Abfallbehandlung,feminine,,"envir., solid-",1,refuse treatment
litter receptacle,lˈɪtə ɹɪsˈɛptəkəl,"Abfallbehälter , Müllbehälter",masculine,,"Br., envir.",0,"waste box, trash receptacle, waste receptacle"
trash receptacle,tɹˈaʃ ɹɪsˈɛptəkəl,"Abfallbehälter , Müllbehälter",masculine,,"envir., Am.",0,"litter receptacle, waste box, waste receptacle"
downgrade,dˈaʊŋɡɹeɪd,"Abfallen , Gefälle , abfallender Verlauf",masculine,,"geogr., constr., Am.",0,decline
waste bin,wˈeɪst bˈɪn,"Abfalleimer , Mülleimer , Abfallkübel , Mistkübel   , Müllkübel   , Kehrichteimer",masculine,,"Br., Ös., envir.",0,"container bin, kitchen bin"
kitchen bin,kˈɪtʃən bˈɪn,"Abfalleimer , Mülleimer , Abfallkübel , Mistkübel   , Müllkübel   , Kehrichteimer",masculine,,"Br., Ös., envir.",0,"waste bin, container bin"
trash can,tɹˈaʃ kˈan,Abfalleimer,masculine,,Am.,0,garbage can
garbage can,ɡˈɑːbɪdʒ kˈan,Abfalleimer,masculine,,Am.,0,trash can
litter basket,lˈɪtə bˈaskɪt,Abfallkorb,masculine,,"Br., envir.",0,
waste management counselling,wˈeɪst mˈanɪdʒmənt kˈaʊnsəlˌɪŋ,Abfallwirtschaftsberatung,feminine,,"Br., envir.",0,waste management counseling
waste management counseling,wˈeɪst mˈanɪdʒmənt kˈaʊnsəlɪŋ,Abfallwirtschaftsberatung,feminine,,"envir., Am.",0,waste management counselling
recycling centre,ɹɪsˈaɪklɪŋ sˈɛntə,"Abfallwirtschaftshof , Altstoffhof , Altstoffsammelstelle , Altstoffzentrum , Recyclinghof , Wertstoffhof",masculine,,"Dt., Br., envir.",1,"civic amenity site, recycling yard, household waste recycling centre / center"
recycling center,ɹɪsˈaɪklɪŋ sˈɛntə,"Abfallwirtschaftshof , Altstoffhof , Altstoffsammelstelle , Altstoffzentrum , Recyclinghof , Wertstoffhof",masculine,,"Dt., envir., Am.",0,"civic amenity site, recycling yard, household waste recycling centre / center"
household waste recycling centre,center,"Abfallwirtschaftshof , Altstoffhof , Altstoffsammelstelle , Altstoffzentrum , Recyclinghof , Wertstoffhof",masculine,,"Dt., envir., Am.",0,"civic amenity site, recycling yard, CA site"
downtown air terminal,dˈaʊntaʊn ˈeə tˈɜːmɪnəl,Abfertigungsbüro für Fluggäste in der Stadt mit Flughafentransfer,,,"transp., Br.",0,air terminal
air terminal,ˈeə tˈɜːmɪnəl,Abfertigungsbüro für Fluggäste in der Stadt mit Flughafentransfer,,,"transp., Br.",0,downtown air terminal
gratuity,ɡɹatjˈuːɪti,"Abfindung , Gratifikation",feminine,,Br.,0,
golden handshake,ɡˈəʊldən hˈandʃeɪk,"hohe Abfindung , goldener Händedruck",feminine,,"übtr., fig.",0,
tun dish,tˈʌn dˈɪʃ,Abflusstrichter,masculine,,Br.,0,"exhaust cone, drain funnel"
moulding,mˈəʊldɪŋ,Abformen,neuter,,"Br., techn.",0,"duplicate molding, molding, duplicate moulding"
molding,mˈəʊldɪŋ,Abformen,neuter,,"techn., Am.",0,"duplicate molding, duplicate moulding, moulding"
duplicate moulding,djˈuːplɪkˌeɪt mˈəʊldɪŋ,Abformen,neuter,,"Br., techn.",0,"duplicate molding, molding, moulding"
duplicate molding,djˈuːplɪkˌeɪt mˈəʊldɪŋ,Abformen,neuter,,"techn., Am.",0,"molding, duplicate moulding, moulding"
moulding tool,mˈəʊldɪŋ tˈuːl,Abformwerkzeug,neuter,,Br.,0,molding tool
molding tool,mˈəʊldɪŋ tˈuːl,Abformwerkzeug,neuter,,Am.,0,moulding tool
tinning plant,tˈɪnɪŋ plˈant,Abfüllanlage,feminine,,Br.,0,canning plant
canning plant,kˈanɪŋ plˈant,Abfüllanlage,feminine,,Am.,0,tinning plant
tinning factory,tˈɪnɪŋ fˈaktəɹi,Abfüllbetrieb,masculine,,Br.,0,canning factory
canning factory,kˈanɪŋ fˈaktəɹi,Abfüllbetrieb,masculine,,Am.,0,tinning factory
duty,djˈuːti,"Abgabe   , Finanzabgabe , Gebühr",feminine,,"staatliche, government, adm.",0,"tariff, imposition, charge"
go west,ɡˌəʊ wˈɛst,"den/einen Abgang machen, daran glauben müssen, den Löffel abgeben, abnibbeln    , die Patschen strecken / aufstellen  , bachab gehen  , abgehen  , abserbeln",,,"Ös., Nordostdt., Br.",0,"kick the bucket, to bite the dust, conk out, turn up your toes"
buy it,bˈaɪ ɪt,"den/einen Abgang machen, daran glauben müssen, den Löffel abgeben, abnibbeln    , die Patschen strecken / aufstellen  , bachab gehen  , abgehen  , abserbeln",,,"Ös., Nordostdt., Mitteldt.",0,"kick the bucket, to bite the dust, go west, conk out"
buy the farm,bˈaɪ ðə fˈɑːm,"den/einen Abgang machen, daran glauben müssen, den Löffel abgeben, abnibbeln    , die Patschen strecken / aufstellen  , bachab gehen  , abgehen  , abserbeln",,,"Ös., Nordostdt., Mitteldt.",0,"kick the bucket, to bite the dust, go west, conk out"
diploma,dɪplˈəʊmə,Abgangszeugnis,neuter,,Am.,0,leaving certificate
catalyser,kˈatɐlˌaɪsə,"Abgaskatalysator , Katalysator , Kat",masculine,,"Br., auto",0,"converter, exhaust gas catalytic converter, catalytic converter"
assemblyman,ɐsˈɛmblɪmən,"Abgeordnete , Abgeordneter",,,Am.,0,"assemblywoman, deputy"
assemblywoman,ɐsˈɛmblɪwˌʊmən,"Abgeordnete , Abgeordneter",,,Am.,0,"assemblyman, deputy"
the gentlewoman,ðə dʒˈɛntəlwˌʊmən,die Frau Abgeordnete,,,"pol., Am.",0,
abysm,ɐbˈɪzəm,"Abgrund , Schlund",masculine,,poet.,0,"gulf, abyss"
dependant,dɪpˈɛndənt,"Abhängige , Abhängiger",,,Br.,0,dependent
dependent,dɪpˈɛndənt,"Abhängige , Abhängiger",,,Am.,0,dependant
pickup point,pˈɪkʌp pˈɔɪnt,Abholstelle,feminine,,Am.,0,pick-up point
abiocen,ˈabɪˌəʊsən,Abiozön,neuter,,"envir., Am.",0,abiocoen
get A-levels,ɡɛt ɐ lˈɛvəlz,"das Abitur ablegen   , die Matura ablegen     , maturieren",,verb,"Ös., Br., Dt.",1,receive/obtain/earn a high-school diploma
receive,obtain,"das Abitur ablegen   , die Matura ablegen     , maturieren",,verb,"Ös., Am., Dt.",0,get A-levels
take Latin as a required elective for high school graduation,tˈeɪk lˈatɪn az ɐ ɹɪkwˈaɪəd ɪlˈɛktɪv fɔː hˈaɪ skˈuːl ɡɹˌadjuːˈeɪʃən,"Latein als Abiturfach haben  , Latein als Maturafach haben    , in Latein maturieren",,,"Dt., Schw., Ös.",0,
A-level student,ɐ lˈɛvəl stjˈuːdənt,"Abiturient   , Maturant   , Maturand",masculine,,"Ös., Br., Dt.",2,high-school senior
high-school senior,hˈaɪ skˈuːl sˈiːnjə,"Abiturient   , Maturant   , Maturand",masculine,,"Ös., Am., Dt.",1,A-level student
secondary school leaver,sˈɛkəndəɹi skˈuːl lˈiːvə,"Abiturient   , Maturant   , Maturand",masculine,,"Ös., Br., Dt.",1,high-school graduate
high-school graduate,hˈaɪ skˈuːl ɡɹˈadjuːət,"Abiturient   , Maturant   , Maturand",masculine,,"Ös., Am., Dt.",1,secondary school leaver
A-level year group,ɐ lˈɛvəl jˈiə ɡɹˈuːp,"Abiturjahrgang   , Abijahrgang     , Maturajahrgang",masculine,,"school, Ös., Br.",1,"year, class"
year,jˈiə,"Abiturjahrgang   , Abijahrgang     , Maturajahrgang",masculine,,"school, Ös., Br.",2,"class, A-level year group"
class,klˈas,"Abiturjahrgang   , Abijahrgang     , Maturajahrgang",masculine,,"school, Ös., Am.",2,"year, A-level year group"
spoof newspaper compiled by the A-level class,senior class,"Abiturzeitung   , Abizeitung     , Maturazeitung",feminine,,"Ös., Am., Dt.",0,
crude tipping,kɹˈuːd tˈɪpɪŋ,Abkippen,neuter,,"Br., techn.",0,open dumping
alphabet soup,ˈalfəbˌɛt sˈuːp,"Abkürzungsdschungel , Buchstabensuppe",masculine,,"coll., pej., ugs.",0,
counter space,kˈaʊntə spˈeɪs,Ablagefläche,feminine,,Am.,0,surface area
expiration,ɛkspəɹˈeɪʃən,Ablauf,masculine,,Am.,2,expiry
groove,ɡɹˈuːv,"eingefahrener Ablauf , ausgefahrene Gleise",masculine,plural,"Br., übtr.",2,rut
process organization,pɹˈəʊsɛs ˌɔːɡɐnaɪzˈeɪʃən,Ablauforganisation,feminine,,eAm.,0,"process-oriented organization, process organisation"
process organisation,pɹˈəʊsɛs ˌɔːɡɐnaɪzˈeɪʃən,Ablauforganisation,feminine,,Br.,0,"process organization, process-oriented organization"
decease,dɪsˈiːs,"Ableben , Hinscheiden   , Hinschied",neuter,,"adm., Schw., poet.",0,demise
demise,dɪmˈaɪz,"Ableben , Hinscheiden   , Hinschied",neuter,,"Schw., poet.",0,decease
deprecation,dˌɛpɹɪkˈeɪʃən,"Ablehnung , Missbilligung",feminine,,formal,0,"disapprobation, disapproval"
repudiation,ɹɪpjˈuːdɪˈeɪʃən,Ablehnung (),feminine,,"public, formal, + gen",1,
deflexion,dɪflˈɛkʃən,"Ablenkung , Ablenken , Ausschlag",masculine,,Br.,0,deflection
diversionary manoeuvre,daɪvˈɜːʃənəɹi mənˈuːvə,Ablenkungsmanöver,neuter,,"Br., mil.",0,diversionary maneuver
diversionary maneuver,daɪvˈɜːʃənəɹi mənˈuːvə,Ablenkungsmanöver,neuter,,"mil., Am.",0,diversionary manoeuvre
diversion behaviour,behavior,Ablenkungsverhalten,neuter,,"zool., Am.",0,
key money,kˈiː mˈʌni,"Ablöse Abl.,  /ˈabəl/ , Abstandszahlung",feminine,,Br.,0,premium
dietary,dˈaɪətəɹi,Diät,feminine,,"dated, cook.",0,"dietary regime, regulated diet, dietary regimen"
slimming diet,slˈɪmɪŋ dˈaɪət,"Schlankheitsdiät , Schlankheitskur , Abmagerungskur",feminine,,Br.,1,"weight-reduction diet, slimming programme, weight-reduction regime"
slimming regime,slˈɪmɪŋ ɹeɪʒˈiːm,"Schlankheitsdiät , Schlankheitskur , Abmagerungskur",feminine,,Br.,0,"weight-reduction diet, slimming programme, weight-reduction regime"
slimming programme,slˈɪmɪŋ pɹˈəʊɡɹam,"Schlankheitsdiät , Schlankheitskur , Abmagerungskur",feminine,,Br.,0,"weight-reduction diet, weight-reduction regime, slimming diet"
dimension,daɪmˈɛnʃən,"Abmessung , Maß , Aufmaß , Abmaß",feminine,,"measured, math.",1,measurement
taper,tˈeɪpə,"Abnahme , Verringerung",feminine,,fig.,0,
callipering,kˈalɪpəɹɪŋ,"Abnehmen , Abgriff",masculine,,Br.,0,calipering
calipering,kˈalɪpəɹɪŋ,"Abnehmen , Abgriff",masculine,,Am.,0,callipering
authorised inspector,ˈɔːθəɹˌaɪzd ɪnspˈɛktə,"Abnehmer , Abnehmerin , Abnahmebeamte , Abnahmebeamter",masculine,,Br.,0,authorized inspector
authorized inspector,ˈɔːθəɹˌaɪzd ɪnspˈɛktə,"Abnehmer , Abnehmerin , Abnahmebeamte , Abnahmebeamter",masculine,,Am.,0,authorised inspector
wear and tear,wˈeəɹ ɐnd tˈeə,"natürliche Abnutzungserscheinungen/Abnützungserscheinungen       , natürliche Abnutzung/Abnützung",feminine,plural,"Schw., normal, Süddt.",0,
night soil,nˈaɪt sˈɔɪl,"Abortdünger , Abtrittsdünger",masculine,,"dated, agr., hist.",0,
packing plant,pˈakɪŋ plˈant,Abpackbetrieb,masculine,,Am.,0,
reckoning,ɹˈɛkənɪŋ,"Abrechnung , Rechnung",feminine,,"archaic, übtr., econ.",0,
accounting centre,ɐkˈaʊntɪŋ sˈɛntə,zentrale Abrechnungsstelle,feminine,,"Br., fin.",0,accounting center
accounting center,ɐkˈaʊntɪŋ sˈɛntə,zentrale Abrechnungsstelle,feminine,,"fin., Am.",0,accounting centre
setting day,sˈɛtɪŋ dˈeɪ,Abrechnungstermin,masculine,,Br.,0,
clean sb.'s clock,klˈiːn ˌɛsbˈiː ˈɛs klˈɒk,jdm. eine (ordentliche) Abreibung verpassen,,verb,"sport, fig., Am.",0,
sanitary lockdown,sˈanɪtəɹi lˈɒkdaʊn,"Abriegelung eines Infektionsgebietes, Cordon sanitaire",masculine,,"med., veraltend, Am.",0,cordon sanitaire
counterfoil,kˈaʊntəfˌɔɪl,"Abrissabschnitt , Abriss , abtrennbarer Abschnitt , Abschnitt zum Abtrennen, Abrisscoupon     , Coupon     , Abrisskupon   , Kupon   , Talon   , Abrisszettel",masculine,,"Ös., Br., Dt.",0,"coupon, detachable portion, tear-off slip"
stub,stˈʌb,"Abrissabschnitt , Abriss , abtrennbarer Abschnitt , Abschnitt zum Abtrennen, Abrisscoupon     , Coupon     , Abrisskupon   , Kupon   , Talon   , Abrisszettel",masculine,,"Ös., Am., Dt.",0,"coupon, detachable portion, tear-off slip"
tyre noise,tˈaɪə nˈɔɪz,Abrollgeräusch,neuter,,"Br., auto",0,tire noise
tire noise,tˈaɪə nˈɔɪz,Abrollgeräusch,neuter,,"auto, Am.",0,tyre noise
turnover,tˈɜːnəʊvə,"Absatz , Warenabsatz",masculine,,"Br., econ.",0,sales
de-energization,dəɹ ˌɛnədʒaɪzˈeɪʃən,"Abschaltung , Aberregung , Netztrennung",feminine,,"eAm., electr.",0,"cut-out, de-energisation, disconnection"
de-energisation,dəɹ ˌɛnədʒaɪzˈeɪʃən,"Abschaltung , Aberregung , Netztrennung",feminine,,"Br., electr.",0,"cut-out, disconnection, de-energization"
separation system,sˌɛpəɹˈeɪʃən sˈɪstəm,Abscheideeinrichtung,feminine,,"techn., water/steam",0,
immigration removal centre,ˌɪmɪɡɹˈeɪʃən ɹɪmˈuːvəl sˈɛntə,"Abschiebezentrum , Schubhaftzentrum",neuter,,"adm., Br., Ös.",1,
valedictorian,vˌalɪdɪktˈɔːɹiən,Bester eines Abschlussjahrgangs und letzter Redner auf der Abschlussfeier,,,"school, stud., Am.",0,valedictory speaker
valedictory speaker,vˌalɪdˈɪktəɹi spˈiːkə,Bester eines Abschlussjahrgangs und letzter Redner auf der Abschlussfeier,,,"school, stud., Am.",0,valedictorian
tow service,tˈəʊ sˈɜːvɪs,Abschleppdienst,masculine,,"auto, Am.",0,"wrecking service, breakdown recovery service, towing service"
towing company,tˈəʊɪŋ kˈʌmpəni,"Abschleppfirma , Abschleppunternehmen",feminine,,"Br., auto",0,wrecker company
wrecker company,ɹˈɛkə kˈʌmpəni,"Abschleppfirma , Abschleppunternehmen",feminine,,"Br., auto, Am.",0,towing company
breakdown lorry,bɹˈeɪkdaʊn lˈɒɹi,"Abschleppwagen , Abschleppfahrzeug",masculine,,Br.,0,"breakdown vehicle, recovery vehicle, breakdown truck"
breakdown truck,bɹˈeɪkdaʊn tɹˈʌk,"Abschleppwagen , Abschleppfahrzeug",masculine,,Am.,0,"breakdown vehicle, breakdown lorry, recovery vehicle"
wrecker,ɹˈɛkə,Abschleppwagen,masculine,,Am.,0,"tow-away vehicle, tow truck"
cloture motion,klˈɒtʃə mˈəʊʃən,Antrag auf Schluss der Debatte,,,Am.,0,closure motion
wind-up,windup,"Abschluss , Schlusspunkt , Ausklang",masculine,,Am.,0,"conclusion, close, finale"
final year group,fˈaɪnəl jˈiə ɡɹˈuːp,Abschlussjahrgang,masculine,,"Br., stud., school",0,"graduating class, final year class, graduating year group"
graduating year group,ɡɹˈadjuːˌeɪtɪŋ jˈiə ɡɹˈuːp,Abschlussjahrgang,masculine,,"Br., stud., school",0,"final year group, graduating class, final year class"
final year class,fˈaɪnəl jˈiə klˈas,Abschlussjahrgang,masculine,,"school, stud., Am.",0,"final year group, graduating class, graduating year group"
graduating class,ɡɹˈadjuːˌeɪtɪŋ klˈas,Abschlussjahrgang,masculine,,"school, stud., Am.",0,"final year group, final year class, graduating year group"
graduation,ɡɹˌadjuːˈeɪʃən,Abschlussprüfung,feminine,,"school, stud., Am.",0,"final, final examination, finals"
diploma,dɪplˈəʊmə,Abschlusszeugnis,neuter,,"school, stud., Am.",0,
Stanley knife,stˈanli nˈaɪf,"Abschneidemesser , Abbrechklingenmesser , Japanmesser , Teppichmesser , Stanley-Messer",masculine,,"tm, Ös.",0,"cutter, carpet cutter, utility knife"
compartmentalization,kɒmpɑːtmˌɛntəlaɪzˈeɪʃən,Abschottung,feminine,,eAm.,1,"partitioning-off, walling-off, compartmentalisation"
compartmentalisation,kɒmpɑːtmˌɛntəlaɪzˈeɪʃən,Abschottung,feminine,,Br.,0,"walling-off, partitioning-off, compartmentalization"
bevelling,bˈɛvəlɪŋ,"Abschrägen , Abkanten , Anglage",feminine,,Br.,0,"beveling, chamfering"
beveling,bˈɛvəlɪŋ,"Abschrägen , Abkanten , Anglage",feminine,,Am.,0,"bevelling, chamfering"
amortisation,ɐmˌɔːtaɪzˈeɪʃən,"Abschreibung   , Steuerabschreibung",feminine,,"Br., steuerliche, jährliche",0,"allowance for depreciation, amortization, depreciation"
special amortisation,spˈɛʃəl ɐmˌɔːtaɪzˈeɪʃən,Sonderabschreibung,feminine,,Br.,0,special amortization
amortization type,ɐmˌɔːtaɪzˈeɪʃən tˈaɪp,Abschreibungsart,feminine,,eAm.,0,amortisation type
amortisation type,ɐmˌɔːtaɪzˈeɪʃən tˈaɪp,Abschreibungsart,feminine,,Br.,0,amortization type
amortization amount,ɐmˌɔːtaɪzˈeɪʃən ɐmˈaʊnt,Abschreibungsbetrag,masculine,,eAm.,0,amortisation amount
amortisation amount,ɐmˌɔːtaɪzˈeɪʃən ɐmˈaʊnt,Abschreibungsbetrag,masculine,,Br.,0,amortization amount
amortization posting,ɐmˌɔːtaɪzˈeɪʃən pˈəʊstɪŋ,Abschreibungsbuchung,feminine,,eAm.,0,amortisation posting
amortisation posting,ɐmˌɔːtaɪzˈeɪʃən pˈəʊstɪŋ,Abschreibungsbuchung,feminine,,Br.,0,amortization posting
amortization field,ɐmˌɔːtaɪzˈeɪʃən fˈiːld,Abschreibungsfeld,neuter,,eAm.,0,amortisation field
amortisation field,ɐmˌɔːtaɪzˈeɪʃən fˈiːld,Abschreibungsfeld,neuter,,Br.,0,amortization field
amortization adjustment,ɐmˌɔːtaɪzˈeɪʃən ɐdʒˈʌstmənt,Abschreibungskorrektur,feminine,,eAm.,0,amortisation adjustment
amortisation adjustment,ɐmˌɔːtaɪzˈeɪʃən ɐdʒˈʌstmənt,Abschreibungskorrektur,feminine,,Br.,0,amortization adjustment
amortization costs,ɐmˌɔːtaɪzˈeɪʃən kˈɒsts,Abschreibungskosten,,plural,eAm.,0,amortisation costs
amortisation costs,ɐmˌɔːtaɪzˈeɪʃən kˈɒsts,Abschreibungskosten,,plural,Br.,0,amortization costs
amortization list,ɐmˌɔːtaɪzˈeɪʃən lˈɪst,Abschreibungsliste,feminine,,eAm.,0,amortisation list
amortisation list,ɐmˌɔːtaɪzˈeɪʃən lˈɪst,Abschreibungsliste,feminine,,Br.,0,amortization list
amortization method,ɐmˌɔːtaɪzˈeɪʃən mˈɛθəd,Abschreibungsmethode,feminine,,eAm.,0,amortisation method
amortisation method,ɐmˌɔːtaɪzˈeɪʃən mˈɛθəd,Abschreibungsmethode,feminine,,Br.,0,amortization method
amortization mode,ɐmˌɔːtaɪzˈeɪʃən mˈəʊd,Abschreibungsmodus,masculine,,eAm.,0,amortisation mode
amortisation mode,ɐmˌɔːtaɪzˈeɪʃən mˈəʊd,Abschreibungsmodus,masculine,,Br.,0,amortization mode
depreciation allowance,dɪpɹˌiːʃɪˈeɪʃən ɐlˈaʊəns,steuerliche Abschreibungsmöglichkeit,feminine,,"Br., fin.",0,possibility for depreciation
amortization parameter,ɐmˌɔːtaɪzˈeɪʃən pəɹˈamɪtə,Abschreibungsparameter,masculine,,eAm.,0,amortisation parameter
amortisation parameter,ɐmˌɔːtaɪzˈeɪʃən pəɹˈamɪtə,Abschreibungsparameter,masculine,,Br.,0,amortization parameter
amortization forecast,ɐmˌɔːtaɪzˈeɪʃən fˈɔːkast,Abschreibungsprognose,feminine,,eAm.,0,amortisation forecast
amortisation forecast,ɐmˌɔːtaɪzˈeɪʃən fˈɔːkast,Abschreibungsprognose,feminine,,Br.,0,amortization forecast
amortization rate,ɐmˌɔːtaɪzˈeɪʃən ɹˈeɪt,Abschreibungsrate,feminine,,"fin., eAm.",0,"amortisation rate, depreciation rate"
amortisation rate,ɐmˌɔːtaɪzˈeɪʃən ɹˈeɪt,Abschreibungsrate,feminine,,"Br., fin.",0,"amortization rate, depreciation rate"
amortization calculation,ɐmˌɔːtaɪzˈeɪʃən kˌalkjʊlˈeɪʃən,Abschreibungsrechnung,feminine,,eAm.,0,amortisation calculation
amortisation calculation,ɐmˌɔːtaɪzˈeɪʃən kˌalkjʊlˈeɪʃən,Abschreibungsrechnung,feminine,,Br.,0,amortization calculation
amortization rule,ɐmˌɔːtaɪzˈeɪʃən ɹˈuːl,Abschreibungsregel,feminine,,eAm.,0,amortisation rule
